id,model,optimizer,loss,task,dataset,Ratio,Replace,Accuracy,F1 Prefix,F1 random,Recall Prefix,Recall random,Precision Prefix,Precision random,Train Loss 0,Train Loss 1,Train Loss 2,Train Loss 3,Train Loss 4,Train Loss 5,Train Loss 6,Train Loss 7,Train Loss 8,Train Loss 9,Train Loss 10,Train Loss 11,Train Loss 12,Train Loss 13,Train Loss 14,Val Loss 0,Val Loss 1,Val Loss 2,Val Loss 3,Val Loss 4,Val Loss 5,Val Loss 6,Val Loss 7,Val Loss 8,Val Loss 9,Val Loss 10,Val Loss 11,Val Loss 12,Val Loss 13,Val Loss 14,test Accuracy 0,test Accuracy 1,test Accuracy 2,test Accuracy 3,test Accuracy 4,test Accuracy 5,test Accuracy 6,test Accuracy 7,test Accuracy 8,test Accuracy 9,test Accuracy 10,test Accuracy 11,test Accuracy 12,test Accuracy 13,test Accuracy 14,train Accuracy 0,train Accuracy 1,train Accuracy 2,train Accuracy 3,train Accuracy 4,train Accuracy 5,train Accuracy 6,train Accuracy 7,train Accuracy 8,train Accuracy 9,train Accuracy 10,train Accuracy 11,train Accuracy 12,train Accuracy 13,train Accuracy 14
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.894,0.8961095414040426,0.8913389406683337,0.880982905982906,0.9076388888888889,0.9117647058823529,0.8756141134435016,0.594910160869154,0.42495110357384336,0.3768495378789638,0.3493867015644452,0.3308832224123805,0.3130739171642659,0.2929512330010048,0.27610599156928795,0.2640256385400759,0.25730087514690914,0.2526412979356746,0.24877236614340267,0.24902672478000598,0.2453252348500908,0.24547484102645137,0.47587753344426115,0.39768623540886733,0.37266661121254474,0.36221263076351806,0.329048891774321,0.3150497026148096,0.32117199146114617,0.2788221829496654,0.287387685438173,0.2551133501780244,0.2595218065301929,0.27435327881732874,0.24076275006595965,0.2439188988203496,0.2446201894003733,0.7901234567901234,0.8256172839506173,0.8335185185185185,0.8404012345679013,0.8648456790123457,0.8696913580246913,0.8697530864197531,0.8869135802469136,0.879104938271605,0.8972222222222223,0.892962962962963,0.8902777777777777,0.9001543209876544,0.9013580246913581,0.9022530864197531,0.7868888888888889,0.8166666666666667,0.8264444444444444,0.8321111111111111,0.8591111111111112,0.8585555555555555,0.8594444444444445,0.88,0.8682222222222222,0.8873333333333333,0.886,0.8832222222222222,0.8928888888888888,0.8937777777777778,0.8937777777777778
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.903,0.9048497341868286,0.9001480132073324,0.8881789137380192,0.9182346109175378,0.9221583370190182,0.8827601607860652,0.6134650987027781,0.4473883684389918,0.39560484396328693,0.3640689106192899,0.3401797516207116,0.3253172404865522,0.30337990017245575,0.2838643893143502,0.27033734298793843,0.2610108176538645,0.24954336453210801,0.24371469207291896,0.24095113848327768,0.23906476151378345,0.23669274238849322,0.4986163836664858,0.39681904453091915,0.36844026910520233,0.3390897231555618,0.3367670691382568,0.29865621491871047,0.28241159410867017,0.2621118121706279,0.2492097272677759,0.2579515156360854,0.23536616072586153,0.2420870823934015,0.24090066862053575,0.2526647538869782,0.2279199338724128,0.7641666666666667,0.8173148148148148,0.8294753086419753,0.8453703703703703,0.8457098765432098,0.8668827160493827,0.8806481481481482,0.8875308641975309,0.8943518518518518,0.8889814814814815,0.903395061728395,0.8982716049382716,0.8989814814814815,0.8925308641975309,0.9067901234567901,0.764,0.811,0.8218888888888889,0.8423333333333334,0.8435555555555555,0.8637777777777778,0.874,0.8868888888888888,0.8951111111111111,0.8837777777777778,0.8992222222222223,0.8968888888888888,0.8961111111111111,0.8943333333333333,0.9025555555555556
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.896,0.8945176179218731,0.8972249643523088,0.9110295803714744,0.8816555292088812,0.8785935426802299,0.9133541759714158,0.6389873265219818,0.4786357179740104,0.41473263152024586,0.37968956198826476,0.35026799046746127,0.32384949879167346,0.30472747251200183,0.28950797676716483,0.27739607805325506,0.2656640262662011,0.2600575149655048,0.2522587755406303,0.24775429449879877,0.24258775288296122,0.24243689518925704,0.5431509097065546,0.4505964224844907,0.4254293106826006,0.36700491475320496,0.3333005570204912,0.33808406383062883,0.29443672708177987,0.297540019637188,0.27585417388287264,0.2624921784859843,0.2588516160582019,0.2550708825938997,0.24476012468865488,0.24049841863127935,0.2368629996755482,0.7439506172839506,0.7930864197530865,0.8057098765432099,0.8396604938271605,0.8562962962962963,0.8551234567901235,0.8740740740740741,0.8741358024691358,0.8834567901234568,0.8915740740740741,0.8919444444444444,0.8932407407407408,0.8982407407407408,0.9010802469135802,0.9029320987654321,0.7406666666666667,0.7885555555555556,0.801,0.8352222222222222,0.8472222222222222,0.8472222222222222,0.8693333333333333,0.8683333333333333,0.8767777777777778,0.8825555555555555,0.8871111111111111,0.8865555555555555,0.8936666666666667,0.897,0.8958888888888888
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.941,0.940253334827934,0.9412930939530785,0.9533984996590135,0.9287111497500543,0.9274657231313578,0.9542206342117017,0.6597256753722395,0.4959054461589335,0.41808878151591417,0.3675119385991139,0.32875699103466965,0.29739566942399254,0.27097898339236715,0.2470954001935425,0.22775294985493455,0.2109489871808654,0.19786632392713607,0.1879868581229113,0.17577978385923115,0.16721339068152122,0.16230650530872465,0.5680637905555489,0.4438151071029427,0.38933290422490213,0.3464618461058203,0.3100583209136946,0.27712477413953934,0.2696460040401569,0.2387245817324229,0.20842279971832722,0.19541227042806886,0.20569723270899426,0.18615025522566475,0.1900405259390848,0.16801760754490322,0.15494225658806024,0.7069753086419753,0.8003086419753086,0.8302777777777778,0.8507407407407407,0.8689506172839506,0.8850617283950617,0.8872530864197531,0.900216049382716,0.9137962962962963,0.9200925925925926,0.9159876543209876,0.925,0.9238271604938272,0.9351543209876543,0.9409259259259259,0.7035555555555556,0.7924444444444444,0.8288888888888889,0.8437777777777777,0.8662222222222222,0.8824444444444445,0.8863333333333333,0.8971111111111111,0.9131111111111111,0.9183333333333333,0.9135555555555556,0.924,0.9216666666666666,0.9337777777777778,0.9407777777777778
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.914,0.9181952350832807,0.9088560018792577,0.8773166800966962,0.9586223984142715,0.9630694383016365,0.8640017865118357,0.6276160624514445,0.4561513727356157,0.4054329132648352,0.3802080167657884,0.3420372199550315,0.3139159599832109,0.28841583368249846,0.2549881483304065,0.234097744074355,0.21754155948625736,0.20437811372796144,0.1964543993379792,0.18579608408655138,0.17977181106974965,0.17315255369722607,0.501552170356818,0.4212900220820334,0.3987191924742893,0.3807842109055646,0.3359475439101194,0.29553148269125845,0.27893273453269385,0.23980494371030184,0.2384974223322573,0.21370915765255954,0.2434377202154261,0.23619702089149341,0.18152471806491371,0.18059132023986463,0.21111468604840009,0.7674691358024691,0.8094444444444444,0.821141975308642,0.8240432098765432,0.8569444444444444,0.8769444444444444,0.8882407407407408,0.9031481481481481,0.9029320987654321,0.9137962962962963,0.898641975308642,0.9021604938271605,0.9291049382716049,0.9328086419753087,0.915,0.766,0.8034444444444444,0.8098888888888889,0.8214444444444444,0.853,0.8726666666666667,0.8808888888888889,0.8984444444444445,0.8981111111111111,0.9093333333333333,0.8951111111111111,0.8991111111111111,0.9256666666666666,0.9282222222222222,0.9137777777777778
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.909,0.9066059225512528,0.911062906724512,0.9347111319868483,0.8857022353437368,0.880141530296329,0.9379187137114784,0.6206145272732723,0.4678301985089659,0.4055663380782908,0.3787579292032467,0.36256052259455074,0.34908142641760403,0.3365178037387009,0.3221437054569488,0.30436453813832226,0.28730125268893675,0.2691242230167982,0.2531071506359735,0.24256317970974542,0.23215571872941482,0.22253025270196786,0.5103116942717966,0.41345472541530576,0.3786944431804978,0.35747402326195643,0.3469559032041415,0.3359521867427151,0.3129743043564062,0.30217878032574613,0.2806082677788439,0.2696364320880544,0.24361510489103014,0.2423266568015107,0.2256072666001531,0.20892261397258372,0.21004147682569724,0.7593518518518518,0.8105246913580247,0.8270679012345679,0.835462962962963,0.8435185185185186,0.8451543209876543,0.8614814814814815,0.8668518518518519,0.8765740740740741,0.880432098765432,0.893179012345679,0.895,0.9029938271604938,0.913858024691358,0.9108641975308642,0.7641111111111111,0.8065555555555556,0.8261111111111111,0.8326666666666667,0.8381111111111111,0.8437777777777777,0.8537777777777777,0.8608888888888889,0.8698888888888889,0.8742222222222222,0.8903333333333333,0.8893333333333333,0.8981111111111111,0.9093333333333333,0.9088888888888889
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.916,0.9146148633386041,0.9173409140607915,0.9346722068328717,0.8986718080548415,0.8954002653693056,0.9368021438142028,0.6328415037495951,0.4664218606829996,0.40912315424491247,0.3820568366382576,0.3669024596886244,0.3549679593502122,0.34171410715474076,0.3271753727757213,0.30989370653212717,0.2922700077354143,0.2736198115810708,0.2511660521381111,0.23619082487700369,0.22240602926728992,0.2115612369791953,0.510879146050563,0.4166243363798192,0.3780927894125998,0.3696741286368497,0.3587963309435718,0.4114426929602581,0.33158770177216657,0.3137453803050835,0.32883992936231393,0.28598711435246255,0.2617843354170301,0.2464540627150409,0.22470863268966168,0.21271410821813397,0.2023536067093368,0.7614506172839506,0.8058950617283951,0.828858024691358,0.8357407407407408,0.8395987654320988,0.8132716049382716,0.8562037037037037,0.864537037037037,0.8578703703703704,0.8803703703703704,0.8922530864197531,0.8995679012345679,0.9101543209876544,0.9155555555555556,0.9206172839506173,0.7588888888888888,0.8011111111111111,0.8211111111111111,0.8306666666666667,0.8387777777777777,0.8106666666666666,0.8494444444444444,0.8593333333333333,0.8567777777777777,0.8723333333333333,0.8888888888888888,0.8948888888888888,0.9063333333333333,0.9088888888888889,0.916
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.916,0.9182963928726642,0.914506593906321,0.9026057240495515,0.9314497452524316,0.9345422379478107,0.8981688253684681,0.6264865622292148,0.47153294448320626,0.4215399300475464,0.39423949055204505,0.3613446032424317,0.3365206872457813,0.31817229462811414,0.3054093773176145,0.2888327606265072,0.2728955365298178,0.25959717692680445,0.24180704422905555,0.2266091887433696,0.2176039963225151,0.20822238084756256,0.5179186484455007,0.44713767809150495,0.3982316760626514,0.366282392919591,0.3546454837891908,0.33320448053094137,0.3136029807867202,0.2975477555156809,0.29276239542307053,0.2676707406618954,0.24663042283691136,0.2355163608372739,0.21642413491432647,0.21847973543062674,0.20451366087108586,0.7482716049382716,0.7890432098765432,0.8203703703703704,0.8364506172839506,0.847037037037037,0.8568518518518519,0.8684567901234568,0.873858024691358,0.8753395061728395,0.8918518518518519,0.8996296296296297,0.907962962962963,0.9165123456790123,0.9126851851851852,0.919074074074074,0.7498888888888889,0.7852222222222223,0.8165555555555556,0.8352222222222222,0.8435555555555555,0.8566666666666667,0.8695555555555555,0.8706666666666667,0.8742222222222222,0.8942222222222223,0.901,0.905,0.9148888888888889,0.9115555555555556,0.9164444444444444
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.903,0.9070980100031925,0.8985237707776357,0.8742564102564102,0.936969696969697,0.9425033171163202,0.8631085305940152,0.6386125195120541,0.4585748573899387,0.3936118475305834,0.36253900302303743,0.3426373062355615,0.32080147568382844,0.29550278166939686,0.27935396789077593,0.26611840563871314,0.25623235566889074,0.24579341229702267,0.23453309474860456,0.2284885360716832,0.21898960143415971,0.21403550209159442,0.5482560575535868,0.4066560764228348,0.38015090667568474,0.35344342188497563,0.33224360249211304,0.301635619615559,0.2897729773437027,0.27985872446963217,0.2672513602713568,0.25021263996584225,0.2455169213688479,0.23886429122855177,0.23173591263790047,0.24198564774958434,0.23827681881664073,0.7308333333333333,0.8162345679012346,0.8286728395061729,0.8455864197530865,0.8570061728395062,0.8743518518518518,0.8832716049382716,0.8869135802469136,0.8916975308641976,0.895462962962963,0.9013888888888889,0.9058950617283951,0.9061419753086419,0.9015740740740741,0.9049691358024692,0.7301111111111112,0.814,0.831,0.8438888888888889,0.8568888888888889,0.8775555555555555,0.88,0.8843333333333333,0.8901111111111111,0.8948888888888888,0.8983333333333333,0.9025555555555556,0.9034444444444445,0.897,0.903
0,euclidean,Adam,cross,ganea,50,0.5,0.3,0.928,0.92744901370779,0.9278830176138252,0.9348461019995506,0.9206418993185316,0.9201680672268907,0.9352389459580169,0.6438033040631324,0.48172032549197674,0.4168244119428341,0.38452808173540665,0.36066391428625477,0.33047500844062966,0.29884976978245514,0.28251847465911484,0.26610719422862184,0.2516343551747655,0.23221068381012838,0.21420460469425018,0.2008126760591171,0.18566942140312914,0.17553783590222277,0.5433248376424333,0.4473395838146716,0.39761564557531237,0.3704899610143847,0.3674974921530327,0.34385910326928165,0.297412334685832,0.28682405600505595,0.2610726748156337,0.24582822772517668,0.23047117948268367,0.21341274747938183,0.18591114080848947,0.17949674558718648,0.16969726884127717,0.7371604938271605,0.7990432098765432,0.8237654320987654,0.8388271604938271,0.8387962962962963,0.8531172839506173,0.8756172839506173,0.8822530864197531,0.894783950617284,0.9027777777777778,0.9067901234567901,0.9166666666666666,0.9283024691358025,0.9292592592592592,0.9341975308641975,0.7256666666666667,0.7954444444444444,0.8217777777777778,0.8335555555555556,0.8442222222222222,0.8533333333333334,0.8697777777777778,0.8801111111111111,0.8896666666666667,0.8953333333333333,0.9038888888888889,0.9123333333333333,0.9238888888888889,0.924,0.9276666666666666
